idx,class,conversation_ri
49,협박 대화,야 너 사냥감 가 게임 팀킬장인 맞냐? 응 맞는데 전언 뭐. 왜 불렀는데 마음 의붓아버지 키도 사냥감 조그마해서 초등학생 사내 도 못 이길 덩치구만. 사냥감 이후 형 처형 이 햄버거 사줄테니까 기분 한동안 풀 감정 고 집에 가렴. 야 클랜전이었는데 구리다 너 때문에 망한거잖아. 니 덕분에 명수 고환 매연 우리 건물 클랜 계수 랭킹도 내려갔더라? 귓바퀴 기분 좋냐? 야 순간 정계 설마 응접실 수입 그거 때문에 그러냐? 입담 구 성운 애가 살인자 기운 게임이랑 현실이랑 시행 구분 못 세상 하네. 그니까 너가 방구석 히키코모리처럼 사는거 아니냐? 그래 말 주 할 수 있을 방도 때 계속 불알 애기해봐. 허벅지 말 선머리 할 비율 수 있을 때까지 내가 번 너 중화기 누군지 모르지만 제발 게임이랑 현실이랑 구분 좀 해라 그러다 사람 구린내 사람 지속성 죽이게 생겼다? 왜 랭킹 떨어졌다고 생 사람 죽이게? 잘아네 물 . 내가 성격 현질해서 거기까지 올려놨구만 너가 다 망쳤는데 책임져야지. 니가 다행 실컷 떠든것처럼 소 난 게임이랑 현실 구분 시내 기수 못 하니까 게임처럼 죽여볼게. 진짜 바로 코너 죽나 야 퍼센트 왜이래. 게임 일 뿐 운 얘기 인데 다음부터 안 그럴게. 랭킹 실험 부분 높여놔 줄게. 감각 애초에 너가 그렇게 사냥감 해 유희 말했으면 열심 죄인 바로 넘어갔을텐데. 왜 사람 자존감도 깍아내려가지고 대포 시아버지 . 그 게임에서는 이 총 한번 헤드샷 날리면 바로 쓰러지러더라? 덕분 한 에 실제 유희 목수 로 그런지 테스트 해볼 수 있게 됐네 야 고맙다 고마워. 왜 이래. 총은 또 어디서 난거야.그거 빨리 백작 피해 내려놔. 부 너 그러다가 범죄자 된다니까?
50,갈취 대화,저기 지나가는 애가 좀 잘 산다며? 예. 형님 제가 우리 학교에서 잘 산다는 애 중에 하나입니다. 맞습니다. 어리버리하긴 해도 하나는 끝내 준다고 하더라구요 그래 제 좀 와라 예 형님!! 야 너 잠깐 우리 형님이 좀 보시잰다. 저를요? 왜요?? 말에 토달지 말고 가보면 알거 아냐 따라와야 너 집이 좀 며? 우리가 놀아야 하는데 뭐가 없어서 말이야 지갑 좀 빌려주라이러지 마세여 전 돈 없어요 아 그래 그럼 가방 뒤져서 돈 나오면 1000원에 얼굴 한대 맞는다? 맞고 래 곱게 래??
51,직장 내 괴롭힘 대화,최대리는 이제 살 빼야지 그래 사람이 너무 둔해 보이네 살 좀 빼는 게 어때 운동을 하고 있습니다 회사 바쁜데 운동할 시간은 있나봐? 일은 제대로 하지도 않으면서 칼퇴는 잘만 하잖아요 죄송합니다 운동을 하는 게 먹는 걸 줄이라는 거야 사무실에서 쩝쩝거리기는 하고 말이야 말로만 맨날 죄송하다고 하면 뭐해
52,기타 괴롭힘 대화,새우버거 안내서 소유 격노 아 고객 판지 님 인간 새우버거 말고 홍차 저희 가게는 쉬림프 치즈버거 있는데 통로 그걸로 드릴까요? 아니 무슨 말이 그렇게 황소 많아! 아 죄송합니다. 인지 이름이 달라서 확인 수입 인 차 여쭸습니다 임 그래서 뭐를 골목길 준다는말이야? 주면 주라는대로 줘! 받았을때 순 먹기 판지 안내서 불편하실까봐 단행본 확인한것뿐입니다. 죄송합니다 아 뭐가 다르냔말이야!!!!!!!!1 인지 아 새우가 들어간건 같은데 치즈 중편 도 들어가있고 치즈를 빼고 주면 될꺼아냐!!!!!!!!!!!!!!!이 멍청아 무슨 구설 애인 상점 말이 수놈 그렇게 많아 단골손님 판지 근간 법칙 한도 죄송합니다.
53,기타 괴롭힘 대화,야 근처 아드님 손가락 장애 뭐?? 장기 방해 귀도 사의 훼방 장애있냐? 왜 경기 못알아들어 너 지금 뭐라했어 무리 오늘 왜 일단 장애보고 장애라고 하는게 잘못이야? 엄지손가락 당장 지장 사과해 싫은데 내가왜? 장부 너 가만안둘꺼야 정말 무섭네 사의 꺼져
54,기타 괴롭힘 대화,철중아? 태평! 야! 너 왜 카톡방 나갔는데 다시 초대하고 지랄이야? 야! 지랄이라고 했냐?! 많이 컸네 이 새끼가 버러지 같은 게 아직 정신 못 차렸나보지 하. 진짜 개빡치게 하네 머저리들 주제에 저 새끼가 뭐라고 하는거냐 머저리래 주제 파악 못하는 모지리는 너 아니냐 닥치고 있을 것이지 어디서 계속 깝치길 깝쳐?! 나도 계속 이러면 가만히 있지 않을거야! 어쩔 건데?! 어쩔거냐고!! 엄마 아빠한테 이를거야 이런 개찌질한 짓이라도 하려고?!
55,협박 대화,저기요 할아버지 여기 버스 안 백금 이기도 아우 한데 환기도 잘 안되니까 마스크 좀 피복 써주세요. 현세 권속 안쪽 피복 생 너가 연령 생 뭔데 처형 나보고 쓰라 말아야? 안쪽 나한테 노력 뭐 해준거 있어 동생 ? 그게 효시 언어 아니고 소리 파워 구설 이제 길 버스에서 원래 마스크 해 안쓰면 조상 내리시거나 벌금 내셔야 해요. 그래서 뭐 어쩌라고. 지금 나 내좇을 피복 시조 등급 수 있는 사람 구설 있어 현재 박스 ? 그럼 여기서 내리세요 제가 용마 내려드릴게요. 공공장소 기 납부 수소 인데 속 남한테 피해주면 안되시죠. 전서 너 내가 죽여버릴거야. 각오해. 징계 마스크? 그거 평생 안 쓰게 행위 만들어줄게. 그게 뭔 고난 소리세요. 그런 말 함부러 허벅지 하시면 안되죠. 아무리 연세가 많으시다고 해도. 태초 그니까 애초에 왜 년 내 신경을 책 가운데 팻말 건드려. 내가 방향 지금은 이렇게 조용하지만 어릴적에는 후각 여럿 전언 시내 패고 다녔어. 오랜만 자아 에 힘 좀 써야하네. 협박 대천 하시면 국한 신고하실거고요. 마스크 하나 차 써달라고 했다고 그렇게 말씀하시지 시작 마세요. 내가 뭐 어떻게 말하던 무슨 상관 국한 인가? 황소 실제로 죽일것도 아닌데. 오늘 저녁에 죽을거 같을 때 신나게 유혈 신고하던지 끌끌
56,기타 괴롭힘 대화,사진 일 퍼센트 봐 못생겼다 이런 댓글 달지 마세요 팩트인데 먼지 뭐 얼굴 토나온다 사진 뭐야? 구 풍진 분진 눈이 너무 작아 노력 다 신고할 겁니다 무슨 죄 흙먼지 로? 빻았다 진짜뭐 징벌 야 티끌 얼굴 미진 메기 닮음 메기
57,갈취 대화,너 돈 많냐? 돈 좀 빌리자. 돈 안 갚을 거잖아. 내가 왜 빌려줘야 돼? 아 이 쪼잔하게. 그럼 확 뺏어? 아니. 이게 . 뺏을까 ? 둘 다 싫은데. 돈 지금 가지고 있는 거 다 내놔. 안돼. 제발 그냥 조금만 빌리는 거야. 알겠지? 하. 이럴 수가
58,갈취 대화,친구 날짐승 야 체면 지인 어.?무슨 일이야? 너 내부 순리 플러스 오늘 화장했어 내부 체모 ? 아응. 좀 지우 생 잘먹었다 뭐썼어? 아 이거 이번 신상아 연륜 니야? 너무 이쁘다 나 갖구 싶어 아 별로 안비싸던데 그래? 최근 별로 안비싸니까 니가 하나 새거사면 되겠다 그치? 안쪽 얻 도시 어?. 기 그건 조류 . 얼른 줘 친구야
59,기타 괴롭힘 대화,어이 생 힘줄 아가씨!! 저 여사 읍 아세요.? 이쁜데 얻 어디 살아? 저리 가세요. 아 비싸게 굴지 말고. 구면 유녀 몸매 죽이는데? 따라오지 뒷받침 마세요!! 모습 아 그러지 말고 나 좀 따라와 영리 봐. 재밌는 기적 유녀 바람 마나님 거 보여줄게. 찬성 따라오지 마시라고요!!! 더럽게 비싸게 구네!! 좀 따라오라고!! 이거 놔요!!!!!
60,직장 내 괴롭힘 대화,인재씨 회사가 만만해요? 그게 무슨 말씀이세요 차장님 지난주에 저한테 사직 고려중이라고 암소하지 않았나요 그건 제가 면담하다가 감정이 욱해서 그랬습니다 그럼 지금은 맘이 바뀌었습니까 네 그냥 다니기로 했습니다 죄송합니다 어휴 그때 사직서를 받아놨어야 되는데 죄송합니다 저는 인재씨 잘라버리고 싶어요. 일처리 똑바로 하세요 마음이 아프네요
61,갈취 대화,저기요. 좀 도주세요. 무슨일요? 도와드릴께요. 다치신덴 없으세요? 감사합니다. 제가 지금 도 없고 도 모르겠어요. 아 그러시군요. 잠시 따뜻한 곳 옮기시죠 덕분에 좀 살 것 같네요. 감사합니다.감사하면 보상을 해주셔야 될 같은데. 네? 전 가진게 없어요. 나중에 잊지 않고 꼭 할께요. 그럼 다른것으로라도 보답해야지. 제가 뭐하러 당신 도와줬겠습니까? .진짜 잊지 않고 보답하겠습니다. 저 좀 집으로 갈수있게 도와주세요. 그러니까 돈을 주던가 다른걸로 보답을 고!!
62,기타 괴롭힘 대화,어이 코털 왜 왜? 아놔됐고 너 상점가서 곰보빵 두개에 콜라하나 사와라 나 돈없어 돈없어? 그럼 내가 돈줄께 어 여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라 야 택도없어 야 뒤질래? 쌔벼서라도 갖고와 색키야 야
63,협박 대화,순이익 오빠 저랑 사귀어주세요. 오빠 신인때부터 제가 응원해왔고 오빠가 여기까지 올라올수 있었던건 저 최근 정신 덕분이잖아요.! 무슨 소리야. 무서운 소리하지말고 당장 내 임 앞에서 꺼져. 등급 날짜 구린내 아니면 매니저 부르고 경관 경찰에 사이 연막 플러스 신고할거야. 오빠. 팬사인회에서 나 사랑한다면서요. 무대때도 내 쪽 계솓 쳐다봤으면서.! 난 너 리포트 누구인지 사람 기억도 못 하겠고 그런적 없어. 경관 제발 내 팬이라면 이제 가줘 제발. 오빠. 내가 오빠 앞에서 죽어버렸으면 좋겠어요? 오빠는 팬 죽는거 보고싶어요.? 너 손에 그거 연인 경찰관 뭐야. 당장 내려놔. 해 위험해 해 피리 . 전세 호각 오빠랑 사랑할수 없다면 전 말씀 죽어버릴거에요. 신문사 기자한테도 다 소문 방도 퍼트려놨어 점 과거 해리 요. 오빠 백일 법칙 가 저 임신시키고 낙태시켰다구요. 너 정말 미쳤구나. 소름끼친다 선 상기 . 세대 나 경찰 불렀고 가세 학식 반 간수 너 곧 잡혀갈거야. 좋은 말 할때 구설 그 피리 최근 칼 내려놔. 일자 오빠. 나 오빠가 어제 회고 간수 연예인 랑 데이트하는거 봤어요. 오 노트 빤 날 이목구비 세대 배신했네 기 .? 생 난 후각 마일 오빠 근대 만 바라봤는데 표식 . 비참해. 죽어버릴거야!!! 손목 말 그을거 나이프 야 방향 노력 . 점 오빠도 같이 나랑 천국 가 귀염 . 다음생에 만나면 우리 평생 애착 사랑해요. 악 불운 제발 절 다가오지 마!!!
64,기타 괴롭힘 대화,아 김여사 진짜 처 진지 짜증나네 아줌마 ! 차 좀 빨리 뺍시다 차량 아 죄송합니다 서방 ! 제가 초보운전이라 . 퍼센트 아 진짜 말씀 아줌마 마누라 가 뭔 골육 건물 유도 유도 대가 시초 운전이야 집에서 밥이나 할 것이지 조력 보필 나와서 민폐 끼치네 말이 너무 심한 거 아녜요.? 뭐? 이 아줌마가 겁 상실했고만 편 김여사 앞 전망 으로 운전하지말고 집에서 애나 키우면서 남편 내조나 쌀 잘해 여자가 뭔 운전이야 이동 낭군 차량 저런 유도 부군 사람을 다 유도 봤나 정도 ! 하 어이가 없어서
65,기타 괴롭힘 대화,야 빵좀 사와 미안해 매연 냄새 나영아 나 오늘은 돈 엄니 이 없어 아니 이 말씀 미친 백금 놈이 계 그럼 다른 애들 읍 삥 바보 연령 연기 국부 귓바퀴 뜯어서라도 구해와 아니 내가 어떡해 간수 풀 그렇게 하니 이 새끼가 똥 대들어? 순리 간수 그럼 빵을 훔쳐서라도 오라고 미친것아 송곳니 너 이상해 도대체 왜 그러는거야 아니 이 미친것이 우리가 우습나 범위 잇속 설계 그냥 니가 만만하니까 그런거지 아 아 그렇구나 아 아 연륜 그렇구나 그런식으로 말만 하지말고 영역 빨리 값어치 사와 쓰레기 원리 야
66,직장 내 괴롭힘 대화,야 너 커피 좀 타와봐라 저 말씀 하시는 겁니까? 그래 여기서 그런 잡일 할 사람이 너 말고 누가 있는데? 아 죄송합니다 지금 타오겠습니다 여기 타왔습니다. 어 씨 이거 먹으라고 탄 거 맞냐 똑같은 믹스커피를 무슨 이렇게 맛대가리 없이 탔어 그리고 뭐 나 혓바닥 화상입어서 죽으라고 이렇게 뜨겁게 탔냐? 아이고 죄송합니다. 최대한 정성 들여 탔는데 입맛 안 맞으셔서 . 어떻게 잘하는 일이 하나도 없어 내가 다 안쓰러워 지려고 한다. 어떻게 지금 잘 살아있냐 잘 죄송합니다 앞으로 더 노력하겠습니다. 당연히 노력해야지 너 지금 살면 뭐 3년? 뒤에 집에서 백수로 살아야 해 너 받아줄 회사 없다고 똑바로해 네 알겠습니다 죄송합니다.
67,기타 괴롭힘 대화,야 저 사람봐봐 진짜 그 티비에 나오는 못생긴 개그맨 닮지 않았냐? 푸하하하핳 야 진짜 못생겼다 헐 너무 크게 얘기했나봐 저기요 지금 저한테 말씀하신거에요??? 아닌데요 아 그래요? 네 그냥 가던길 가시면 될거같은데요? 야 저 사람 못생긴 대신 귀는 밝은가봐 자기가 못생긴지 아나보네 저기요 저한테 하신말 맞네요 저 지금 심각한 모욕감을 느끼고 있는데 빨리 사과하세요 네? 다른사람보고 한말인데요? 그쪽이 너무 예민한거 같은데요? 제가 다들었어요 그 두분들도 잘생기신일부은 아닌거같은데 그런말할 권리가 어디있나요 대체?
68,직장 내 괴롭힘 대화,아니 김 말씀 대리 도대체 일처리가 이모양이냐 비렁뱅이 정한 끝 ? 제가 혹시 복장 실수한거 있나요? 아 말대꾸 따박따박 같네 죄송합니다. 야 플러스 제명 내가 니 친구로 친지 보이냐? 아닙니다. 월 됨됨이 너 진짜 회사 한계 에서 찍히고싶은거지? 죄송합니다 그런의도로 말한 얘기 건 증기 제한 아닙니다 수증기 그냥 형상 벗 턱 회사에서 쥐죽은듯이 살아 원리 알겠습니다.
69,협박 대화,년 너 왜 노년 내말 지속성 나이프 가운데 안듣는데? 들을게. 말만 그렇게 향기 도자 하고 니가 하는게 없는데? 너 그럴때마다 진짜 죽이고 연륜 식칼 싶어 그래도 죽이고 기 싶다니. 진심이야. 나 남성 칼로 너 찌를 수 도자 있어. 도자 못할것같냐? 진정해 너같으면 진정되겠냐? 지출 나 내부 얘기 안정 지금 칼 가져올거야. 미안해. 계속 그런식이 자아 면 진짜 너 나이프 죽일거야 안그럴게
70,기타 괴롭힘 대화,니가 드디어 아들을 낳으니 내가 속이 다 시원하다. 네 아버지. 내가 그동안 명절마다 인척에 안부 전화할때마다 네가 네 역할을 다하지 못해서 얼마나 창피한 줄 알았니? 얼굴도 들지도 못했다. 아 아버지. 하아. 제가 더 만 고생이 심했어요. 니가 드디어 아기를 가졌으니 다행이야. 마침 아들이니 더욱 다행이고. 네 아버지. 진짜 이 와서 너무 행복해요. 근데 너 시험관하느라 몇 년 허비 한 거 알지? 니 나이가 몇인데 빨랑 둘째 가져. 아버지. 저 진짜 힘들게 아기 가진거고 둘째 생각 없어요. 네가 큰 딸인데 그게 무슨 소리야? 빨랑 둘째 가져라. 애 키우느라 쉰다매. 어차피 시간도 많은데 병원 다니면서 힘써라. 아버지. 애 키우는 것도 힘들어요. 정말.
